event_id,candidate,event_title,city,state,date,time,lat,lon,status,event_hash
LYE05,BIDEN,President Joe Biden delivers a major speech kickstarting his 2024 re-election campaign,Philadelphia,Pennsylvania,2024-01-05,15:00,39.95234,-75.16379,VALID,1a622d36-789f-480e-8172-755611e7676b
LYE74,TRUMP,Ex-president Donald Trump holds campaign event,Mason City,Iowa,2024-01-05,19:30,43.15357,-93.20104,VALID,2b975b40-e0b3-4c2a-be21-2289c9bc85dd
LYJ51,TRUMP,Ex-President Donald Trump holds campaign event,Newton,Iowa,2024-01-06,10:00,41.69971,-93.04798,VALID,91a82ab3-7d16-4432-b065-b5fad22a3da7
LYJ50,TRUMP,Ex-President Donald Trump holds campaign event,Clinton,Iowa,2024-01-06,13:00,41.84447,-90.18874,VALID,1b19aae3-bbac-40c5-a5c3-a5c86c7a813b
LYO08,BIDEN,President Joe Biden visits majority Black community as part of his election campaign,Charleston,South Carolina,2024-01-08,,32.77657,-79.93092,VALID,7d2e2222-1480-4a6b-b96c-ffaa07688492
LYJ55,TRUMP,Ex-President Donald Trump attends FOX Town Hall event,Des Moines,Iowa,2024-01-10,20:30,41.60054,-93.60911,VALID,9b4ca859-f967-4b4f-a8f2-b8ee7af2b133
LZK37,TRUMP,Ex-President Donald Trump campaign event,Indianola,Iowa,2024-01-14,09:00,41.35805,-93.55744,VALID,f77dcfb1-8202-455b-9397-afb2e53d8e6a
LZK40,TRUMP,Ex-President Donald Trump campaign event,Atkinson,New Hampshire,2024-01-16,12:00,42.83842,-71.147,VALID,4ca73c1a-7efe-454b-a77a-62894760da3f
MAA18,TRUMP,Ex-president Donald Trump campaign event,Portsmouth,New Hampshire,2024-01-17,19:00,43.07704,-70.75766,VALID,9d9e90b4-6f5a-46c7-82fe-4353889a1d95
MAD07,BIDEN,President Joe Biden holds event to promote his economic agenda,Raleigh,North Carolina,2024-01-18,14:00,35.7721,-78.63861,VALID,8acf40d8-744d-480c-a5ff-f29dfaf7ae4e
MAH16,TRUMP,Ex-president Donald Trump campaign event,Concord,New Hampshire,2024-01-19,16:00,43.20814,-71.53757,VALID,71705a39-fa7f-4f12-ad9f-845205d746be
MAH09,TRUMP,Ex-President Donald Trump campaign event,Manchester,New Hampshire,2024-01-20,16:00,42.99564,-71.45479,VALID,11ddc200-9343-4aa9-a77c-52f15f4fd74b
MAH10,TRUMP,Ex-President Donald Trump campaign event,Rochester,New Hampshire,2024-01-21,16:00,43.30453,-70.97562,VALID,ac2668a0-5938-4031-8528-c4294478c06b
MAQ50,TRUMP,Former President Donald Trump holds rally,Laconia,New Hampshire,2024-01-22,,43.52785,-71.47035,VALID,d52d18dc-85ed-4473-b293-36edc1ed0f3f
MAP67,BIDEN,President Joe Biden gives a speech on abortion rights,Manassas,Virginia,2024-01-23,,38.75095,-77.47527,VALID,660361b0-c2b7-4889-8705-d5e45fa1e423
MBA83,TRUMP,Ex-President Donald Trump campaign rally,Las Vegas,Nevada,2024-01-27,11:00,36.17497,-115.13722,VALID,5e0ee3de-db64-4f7f-bebf-ac9000e503fe
MBE41,BIDEN,Biden speaks at political event,Columbia,South Carolina,2024-01-27,19:00,34.00071,-81.03481,VALID,0a1a3dc7-29dc-42a7-bb91-d146d6ea8489
MBK37,BIDEN,President Joe Biden visits Florida for campaign events,Palm Beach,Florida,2024-01-30,,26.70562,-80.03643,VALID,6af7ef0b-c752-44b5-a834-dae2e3fa0b6a
MBY93,BIDEN,President Joe Biden stops at campaign headquarters,Wilmington,Delaware,2024-02-03,,39.74595,-75.54659,VALID,8a8c7324-3e57-433e-8cb3-fad11ad01cd6
MBY43,BIDEN,US President Biden holds campaign event,Las Vegas,Nevada,2024-02-04,16:30,36.17497,-115.13722,VALID,432a2edc-9fc5-453b-badd-cb261048c661
MCW00,TRUMP,Trump holds a “Get Out the Vote” rally,Conway,South Carolina,2024-02-10,14:00,33.836,-79.04781,VALID,8905ba3c-8564-4524-bb54-853b61ef18b0
MDE10,TRUMP,Donald Trump holds a Get Out the Vote rally US election,Waterford Township,United States,2024-02-17,17:00,,,CANDIDATE,545d432d-5f5b-4062-9208-bb783e1b9b8a
MEC11,BIDEN,President Joe Biden attends campaign reception,Los Angeles,California,2024-02-20,19:15,34.05223,-118.24368,VALID,28c8b26d-cc28-4f03-8000-20323523ca9a
MEL81,TRUMP,Former US President and 2024 presidential hopeful Donald Trump addresses a Get Out the Vote rally ,Rock Hill,South Carolina,2024-02-23,,34.92487,-81.02508,VALID,667e5762-a3e6-4b4b-9d23-61fc232bfc7f
MEN33,TRUMP,Trump Campaign to Host an Election Night Watch Party,Columbia,South Carolina,2024-02-24,16:00,34.00071,-81.03481,VALID,c976f030-2449-4e81-b2fd-a6f390b2a9b5
MFI09,TRUMP,Donald Trump campaign event,Greensboro,North Carolina,2024-03-02,13:00,36.07264,-79.79198,VALID,ff29493b-3336-4474-8ef1-153b920f720c
MFI04,TRUMP,Donald Trump holds a Get Out the Vote rally,Richmond,Virginia,2024-03-02,17:30,37.55376,-77.46026,VALID,39ffd77d-ed9b-4b8d-861b-c41a55b2cfc1
